price,location,area,year,rooms,level,state
450 000 zł,"Kraków, Krowodrza, Stara Krowodrza, Kazimierza Wielkiego",37 m²,1978,2,3,do zamieszkania
451 994 zł,"Kraków, Krowodrza","35,41 m²",2019,2,1,do zamieszkania
453 692 zł,"Kraków, Krowodrza, Stefana Banacha","57,91 m²",2020,3,3,do wykończenia
454 277 zł,"Kraków, Krowodrza","51,91 m²",2021,3,5,do wykończenia
455 000 zł,"Kraków, Krowodrza, Kazimierza Wielkiego",35 m²,2022,2,4,do wykończenia
455 000 zł,"Kraków, Krowodrza","40,50 m²",1976,2,6,do zamieszkania
456 095 zł,"Kraków, Krowodrza","48,01 m²",2021,3,1,do wykończenia
459 000 zł,"Kraków, Krowodrza, ul. Opolska",53 m²,1974,3,10,do zamieszkania
310 000 zł,"Kraków, Krowodrza",26 m²,1974,1,2,do zamieszkania
520 000 zł,"Kraków, Krowodrza, Krowodrza Górka, ul. gen. Augusta Fieldorfa-Nila",60 m²,2006,2,7,do zamieszkania
600 000 zł,"Kraków, Krowodrza, ul. Kluczborska",46 m²,2009,2,1,do zamieszkania
1 620 000 zł,"Kraków, Krowodrza, Stanisława Przybyszewskiego","111,68 m²",2019,4,3,do wykończenia
1 650 000 zł,"Kraków, Krowodrza",200 m²,1919,6,parter,do remontu
1 696 500 zł,"Kraków, Krowodrza","135,72 m²",1935,4,1,do zamieszkania
1 870 000 zł,"Kraków, Krowodrza, Stanisława Przybyszewskiego",142 m²,2019,5,3,do wykończenia
2 390 000 zł,"Kraków, Krowodrza, Stara Krowodrza, Fryderyka Chopina",150 m²,1930,5,1,do zamieszkania
6 299 000 zł,"Kraków, Krowodrza, Jana Buszka","442,20 m²",2017,10,4,do zamieszkania
359 000 zł,"Kraków, Nowa Huta, os. Tysiąclecia",44 m²,1971,2,3,do zamieszkania
429 000 zł,"Kraków, Nowa Huta, os. Górali","48,32 m²",1958,2,parter,do zamieszkania
499 000 zł,"Kraków, Mistrzejowice, Bohaterów Września",67 m²,2020,4,3,do wykończenia
398 000 zł,"Kraków, Mistrzejowice, Bohaterów Września",51 m²,2020,3,parter,do wykończenia
509 000 zł,"Kraków, Mistrzejowice, Osiedle Bohaterów Września","67,30 m²",2020,3,4,do wykończenia
514 437 zł,"Kraków, Mistrzejowice, Piasta Kołodzieja","66,81 m²",2020,4,7,do wykończenia
539 000 zł,"Kraków, Nowa Huta, Czyżyny, Sołtysowska","76,38 m²",2021,3,1,do wykończenia
469 000 zł,"Kraków, Nowa Huta, Czyżyny, Sołtysowska",58 m²,2021,3,parter,do wykończenia
446 000 zł,"Kraków, Nowa Huta","50,90 m²",1980,3,3,do zamieszkania
910 000 zł,"Kraków, Nowa Huta, Czyżyny, Życzkowskiego 5",57 m²,2020,3,3,do zamieszkania
550 000 zł,"Kraków, Nowa Huta, Czyżyny, Marii Dąbrowskiej",48 m²,2015,2,7,do zamieszkania
320 000 zł,"Kraków, Nowa Huta, os. Krakowiaków",39 m²,1950,2,1,do zamieszkania
399 999 zł,"Kraków, Mistrzejowice","47,60 m²",1974,3,2,do zamieszkania
310 000 zł,"Kraków, Nowa Huta",36 m²,1965,2,9,do remontu
265 000 zł,"Kraków, Nowa Huta, Czyżyny",32 m²,1965,2,2,do remontu
219 000 zł,"Kraków, Nowa Huta, os. Ogrodowe","27,69 m²",1955,1,3,do zamieszkania
370 000 zł,"Kraków, Nowa Huta",52 m²,1970,2,parter,do remontu
472 875 zł,"Kraków, Nowa Huta, Czyżyny, Centralna","64,78 m²",2022,3,1,do wykończenia
